page,2019-02 pi,2019-02 v,2019-03 pi,2019-03 v,2019-04 pi,2019-04 v,2019-05 pi,2019-05 v,2019-06 pi,2019-06 v,2019-07 pi,2019-07 v,2019-08 pi,2019-08 v,2019-09 pi,2019-09 v,2019-10 pi,2019-10 v,2019-11 pi,2019-11 v,2019-12 pi,2019-12 v,2020-01 pi,2020-01 v,2020-02 pi,2020-02 v,2020-03 pi,2020-03 v,2020-04 pi,2020-04 v,2020-05 pi,2020-05 v,2020-06 pi,2020-06 v,2020-07 pi,2020-07 v,2020-08 pi,2020-08 v,2020-09 pi,2020-09 v,2020-10 pi,2020-10 v,2020-11 pi,2020-11 v,2020-12 pi,2020-12 v,2021-01 pi,2021-01 v,2021-02 pi,2021-02 v,2021-03 pi,2021-03 v,2021-04 pi,2021-04 v
berlin-um-1650-atom-1,,,,,,,,,,,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanierungsgebiete-wms,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluglärmschutzbereiche-2013-umweltatlas-wfs,1,1,7,6,6,3,3,3,3,3,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
einschulbereiche-geometrien-schuljahr-20192020 .,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-bauwerk-im-verkehrsbereich-fläche,,,,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wohndauer-über-5-jahre-2014-lor-v-2-wms,,,2,2,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baugrundkarte-wms-4,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adressen-berlin-1,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
einfache-wohnlage-einschl-lärmbelastung-2014-lor-wms,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entsiegelungspotenziale-umweltatlas,,,,,,,,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat-lärmkarte-ln-nacht-index-flugverkehr-ber-prognose-2015-ua-wms,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finanzamt-atlas-berlin,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flächennutzung-stadtstruktur-2010-und-versiegelung-2011-umweltatlas-wfs-1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grundwassergüte-orthophosphat-umweltatlas-wfs,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
einzugsgebiete-der-regenwasserkanalisation-2012-umweltatlas-wfs,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klimamodell-berlin-bodennahes-windfeld-und-kaltluftvolumenstrom-2015-ua-wms-0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ausländeranteil-2014-lor-v-2-wms,,,3,2,1,1,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologische-karte-110000-wms,,,,,2,2,1,1,3,3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockkarte-1-50000-isu50-raumbezug-umweltatlas-2015-wfs,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitale-farbige-orthophotos-2016-dop20rgb-atom-0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologische-skizze-umweltatlas-0,,,3,3,1,1,3,3,5,3,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berliner-gebäude-atlas-mitte-epsg25833-wfs,,,1,1,3,2,4,4,1,1,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluglärmschutzbereiche-2013-umweltatlas-wms-1,,,,,,,1,1,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solaranlagen-thermie-auf-bezirksregionebene-umweltatlas,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-weg-pfad-steig-linien,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adressen-berlin-8,,,2,2,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-bauwerk-im-gewässerbereich-fläche,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klimamodell-berlin-klimaanalysekarte-2015-blockflächen-brandenburg-ua-wfs,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-bauwerk-oder-anlage-für-industrie-und-gewerbe-punkte,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verkehrszellenteilverkehrszellen-berlin-wms,2,2,3,3,2,2,5,4,3,3,9,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-gewässerstationierungsachse-linien,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open5streetmap5daten5für5berlin,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis®-dgm-1m-rasterweite-atom-0,,,,,,,,,14,12,20,17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
städtebauliche-dichte-geschossflächenzahl-gfz-2008-lor-wms,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockkarte-1-5000-isu5-raumbezug-umweltatlas-2015-wfs,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wanderungssaldo-2013-2014-lor-v-2-wms,2,1,2,2,2,2,3,3,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-fläche-gemischter-nutzung-offen-fläche,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gründächer-gebäudeflächen-umweltatlas,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-vegetationsmerkmal-punkte,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verlauf-der-berliner-mauer-1989-hinterlandmauer-wfs-0,2,2,6,4,4,3,3,2,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
los72017-berlin-0,18,18,14,14,5,5,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entsiegelungspotenziale-umweltatlas-0,,,,,,,,,17,16,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-transportanlage-fläche,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fnp-flächennutzungsplan-berlin-stand-neubekanntmachung-2015-atom-0,,,3,3,,,,,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landschaftsbestandteile-geschützt-wfs,,,1,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regelungsfunktion-der-böden-für-den-wasserhaushalt-2015-umweltatlas-wms,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-schleuse-fläche,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baugrundkarte-spandau-wms-3,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lapro-beschlussfassung-biotop-und-artenschutz-programmplan-wms-1,,,,,,,,,,,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verlauf-der-berliner-mauer-1989-polit-grenze-abweichend-vom-mauerverlauf-wfs-0,,,,,,,,,2,2,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-unland-vegetationslose-fläche-fläche,,,,,,,,,1,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geothermisches-potenzial-spezifische-entzugsleistung-bis-80-m-für-2400-ha,,,,,,,,,,,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
straßenbefahrung-2014-wasserpumpen-und-brunnen-wfs,,,,,,,,,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
städtebauliche-dichte-grundflächenzahl-grz-2015-umweltatlas-wms-2,2,2,8,8,14,12,7,5,9,6,9,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landesentwicklungsplan-berlin-brandenburg-festlegungskarte-1-gesamtraum-atom-1,,,4,4,3,2,2,2,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
städtebauliche-dichte-grundflächenzahl-grz-2011-umweltatlas-wms-0,,,,,,,,,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat-lärmkarte-ln-nacht-index-straßen-u-bahnverkehr-2012-ua-atom-2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gründächer-dachteilflächen-gebäude-umweltatlas,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebäudeschäden-1945-atom-0,,,,,,,,,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-bauwerk-im-verkehrsbereich-punkte,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luftreinhalteplan-2011-2017-szenarios-kfz-verkehr-2015-mb5-kfz-flotte-2020,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
einzugsgebiete-der-regenwasserkanalisation-2017-umweltatlas,2,2,2,2,,,1,1,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existierende-bodennutzung-im-inspire-datenmodell-forsten-wms,,,,,1,1,1,1,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landesentwicklungsplan-berlin-brandenburg-festlkarte-2-städtische-kernbereiche-atom-2,,,3,3,2,2,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebensweltlich-orientierte-räume-lor-prognoseräume-wfs,1,1,4,4,5,5,5,4,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitale-farbige-orthophotos-2017-dop20rgb-wms-2,,,,,,,,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat-lärmkarte-ln-nacht-index-flugverkehr-2012-ua-1,,,,,,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versiegelung-2005-umweltatlas-wms,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klimamodell-berlin-entwicklung-der-anzahl-der-hitzetage-der-zukunft-2015-ua-wms,,,,,,,,,9,8,7,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summe-einspeisung-mittelspannung-2013-berlin,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gründächer-block-und-blockteilflächen-umweltatlas,,,,,,,2,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schutzgebiete-nach-naturschutzrecht-inklusive-natura-2000,4,4,1,1,1,1,2,2,,,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grundwasserabhängige-ökosysteme-umweltatlas,,,1,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co2-emissionen-durch-anlagen-nach-dem-treibhausgas-emissionshandelsgesetz-tehg,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luftreinhalteplan-2018-2025-szenarien-zur-no2-konzentration-im-straßenraum-2020,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-wohnbaufläche-geschlossen-fläche,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-bahnverkehrsanlage-fläche,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lapro-beschlussfassung-gesamtstädtische-ausgleichskonzeption,1,1,1,1,,,3,2,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat-lärmkarte-ln-nacht-index-straßen-u-bahnverkehr-2017-ua-0,2,2,3,2,,,,,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometrien-der-wahlbezirke-berlin-2017,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-insel-fläche,,,,,,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klimamodell-berlin-anzahl-meteorologischer-kenntage-im-mittel-der-jahre-2001-2010-2015,,,,,3,3,3,2,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockkarte-1-5000-straßenflächen-isu5-raumbezug-umweltatlas-2015-wfs-1,,,,,,,,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bodenrichtwerte-01012017-wms,6,5,15,12,21,15,10,3,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-straßenverkehrsanlage-punkte,,,,,,,4,4,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mittlere-effektive-kationenaustauschkapazität-der-böden-2015-umweltatlas-wfs,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grundwassergleichen-2016-umweltatlas,,,1,1,1,1,,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geothermisches-potenzial-spezifische-wärmeleitfähigkeit-bis-60-m,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gis,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adressen-berlin-wfs-2,,,,,1,1,13,12,3,3,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statusdynamik-index-soziale-stadtentwicklung-2015-lor-wms,,,2,2,1,1,7,7,6,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nährstoffspeicher-schadstoffbindungsvermögen-der-böden-2015-umweltatlas-wfs,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbs-PLZ-dezember-2016,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"koordinaten-der-zugangsmöglichkeiten-zu-stationen-0 von Berlin Open Data (daten.berlin.de), Urheber der Daten VBB (API) CSV-Datei (Originalbezeichnung: UMBW.csv),Original Datensatz beinhaltet 20046 Dateneinträge Koordinaten der",,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gründächer-dachteilflächen-tiefgaragen-umweltatlas,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-flugverkehrsanlage-fläche,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mittelmaßstäbige-landwirtschaftliche-standortkartierung-mmk,,,,,1,1,,,,,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adressen-berlin-12,,,18,15,6,6,6,5,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geothermisches-potenzial-spezifische-wärmeleitfähigkeit-bis-80-m,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karte-von-berlin-15000-k5-farbausgabe-atom-0,,,,,,,,,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geothermisches-potenzial-spezifische-entzugsleistung-bis-60-m-für-2400-ha,,,,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat-lärmkarte-ln-nacht-index-straßenverkehr-2012-ua-atom-2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alkis-berlin-gebäude-linien-wfs-0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockkarte-1-50000-isu50-raumbezug-umweltatlas-2015-wms-2,,,,,,,5,5,7,7,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin-um-1910-atom-0,,,,,,,,,6,5,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin-um-1940-atom-0,,,,,,,,,17,13,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verkehrsbedingte-emissionen-2015-umweltatlas-0,,,1,1,2,2,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polizei-kontaktbereiche-wfs,1,1,3,2,3,1,1,1,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin-um-1650-atom-0,,,,,,,,,8,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lor-raumgliederung-berlins-2010-schlüsselverzeichnis-und-bezeichnungen,1,1,1,1,8,5,10,5,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adressen-berlin-11,18,12,6,6,5,4,2,1,1,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-bauwerk-oder-anlage-für-sport-freizeit-und-erholung-linien,,,,,,,1,1,1,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moore-moorgebiete-umweltatlas,4,3,4,4,6,6,4,4,1,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grundwassergleichen-des-hauptgrundwasserleiters-2017-ua-0,,,,,2,2,,,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologische-bohrdaten-wms-3,1,1,3,3,2,2,7,7,2,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
straßenbefahrung-2014-parkfläche-wfs,,,,,,,1,1,9,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bebauungspläne-vorhabenbezogene-bebauungspläne-geltungsbereiche-wms-1,,,5,5,3,2,3,3,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versorgung-mit-öffentlichen-wohnungsnahen-grünanlagen-2016-grünflächen-umweltatlas-wfs-0,6,4,7,4,3,3,2,2,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baunutzungsplan-atom-0,,,,,,,,,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-bahnstrecke-linien,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitale-color-infrarot-orthophotos-2005-dop20cir-wms-0,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adressen-berlin-0,,,,,,,2,2,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
einzugsgebiete-der-regenwasserkanalisation-differenziert-2017-umweltatlas-0,1,1,,,,,1,1,6,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baunutzungsplan-wms,2,2,,,1,1,,,2,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wasserschutzgebiet-johannisthal-vorläufige-anordnung-wms,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lapro-beschlussfassung-biotop-und-artenschutz-programmplan,,,,,,,1,1,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-höhenlinie-linien,,,,,,,2,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin-um-1986-atom-0,,,,,,,,,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verkehrsbedingte-luftbelastung-im-straßenraum-2015-umweltatlas-0,1,1,2,1,4,4,2,2,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-basis-dlm-präsentationsdienst-wms-0,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wasserhaushalt-2012-umweltatlas,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fnp-flächennutzungsplan-berlin-stand-neubekanntmachung-2015-0,4,4,5,4,2,2,1,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
status-index-2015-lor-wms-1,,,5,4,6,6,4,4,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schutzgebiete-nach-naturschutzrecht-inklusive-natura-2000-wms-1,,,3,3,2,2,5,4,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebäudealter-der-wohnbebauung-umweltatlas-1,3,3,14,13,9,8,7,7,9,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grundwassergleichen-des-hauptgrundwasserleiters-2017-ua,4,4,3,3,2,2,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art-der-kanalisation-2017-umweltatlas-0,1,1,,,1,1,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologische-skizze-liniengewässer-umweltatlas,,,4,4,1,1,5,5,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologische-karte-1874-1937-atom-0,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alkis-berlin-flurstÃ¼cke,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fnp-flächennutzungsplan-berlin-stand-2009-atom,1,1,1,1,4,1,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
straßenbefahrung-2014-taxirufsäule-wfs,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-transportanlage-punkte,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologische-karte-110000-wms-1,,,,,,,,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockkarte-1-50000-isu50-raumbezug-umweltatlas-2005-wfs-1,,,,,,,,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis®-dgm-digitales-geländemodell-atom,7,6,21,17,9,8,20,15,12,11,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schutzgebiete-nach-naturschutzrecht-inklusive-natura-2000-wms-2,,,,,8,4,,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adressen-berlin-7,,,,,,,3,3,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesamtabfluss-aus-niederschlägen-2012-umweltatlas-wms,,,,,,,1,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geothermisches-potenzial-spezifische-wärmeleitfähigkeit-bis-40-m,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitale-farbige-orthophotos-2004-dop25rgb-wms,2,1,3,3,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin-um-1986-wms-1,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin-um-1850-atom-0,,,,,,,,,12,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atkis-basis-dlm-präsentationsdienst,,,,,,,1,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
